time,v_y
0,0.013150699
0.00040016,0.013635688
0.00080032,0.015709946
0.00120048,0.01091229
0.00160064,0.013008933
0.0020008,0.008987258
0.00240096,0.008949952
0.00280112,0.007897899
0.003201281,0.003846379
0.003601441,0.004517902
0.004001601,0.001182673
0.004401761,0.001212518
0.004801921,0.000429075
0.005202081,-0.004383504
0.005602241,-0.006047388
0.006002401,-0.011718024
0.006402561,-0.008554406
0.006802721,-0.006241383
0.007202881,-0.006883061
0.007603041,-0.008726017
0.008003201,-0.018052721
0.008403361,-0.013075992
0.008803521,-0.00841264
0.009203681,-0.009405001
0.009603842,-0.011613565
0.010004002,-0.016396299
0.010404162,-0.013046147
0.010804322,-0.006509993
0.011204482,-0.00600262
0.011604642,-0.007382972
0.012004802,-0.01262831
0.012404962,-0.005778779
0.012805122,-0.00058567
0.013205282,-0.00074982
0.013605442,-0.001727259
0.014005602,-0.003204609
0.014405762,-0.003018075
0.014805922,0.005890793
0.015206082,0.006345936
0.015606242,0.006830925
0.016006403,0.008196354
0.016406563,0.010248229
0.016806723,0.010718295
0.017206883,0.012904474
0.017607043,0.009524477
0.018007203,0.012106108
0.018407363,0.012419485
0.018807523,0.012971626
0.019207683,0.017000762
0.019607843,0.015277187
0.020008003,0.014777276
0.020408163,0.013016394
0.020808323,0.013672994
0.021208483,0.015687562
0.021608643,0.010852599
0.022008804,0.008673881
0.022408964,0.008599268
0.022809124,0.004346291
0.023209284,0.006525009
0.023609444,0.005278961
0.024009604,0.002421259
0.024409764,0.000854373
0.024809924,-0.002346552
0.025210084,-0.002488318
0.025610244,-0.004890877
0.026010404,-0.008129108
0.026410564,-0.01487418
0.026810724,-0.009464692
0.027210884,-0.007815731
0.027611044,-0.008144031
0.028011204,-0.008897629
0.028411365,-0.019761373
0.028811525,-0.010800276
0.029211685,-0.00551017
0.029611845,-0.011016656
0.030012005,-0.010113831
0.030412165,-0.015441244
0.030812325,-0.013128222
0.031212485,-0.00468942
0.031612645,-0.007711272
0.032012805,-0.004129818
0.032412965,-0.009084163
0.032813125,-0.004167125
0.033213285,0.000376846
0.033613445,0.001287132
0.034013605,-0.001563109
0.034413766,-0.002950922
0.034813926,0.003070398
0.035214086,0.006853309
0.035614246,0.008852954
0.036014406,0.00877834
0.036414566,0.013232774
0.036814726,0.008741033
0.037214886,0.011695733
0.037615046,0.013523767
0.038015206,0.010449686
0.038415366,0.014672817
0.038815526,0.013396924
0.039215686,0.013143238
0.039615846,0.015941249
0.040016006,0.012867167
0.040416166,0.013247697
0.040816327,0.011792731
0.041216487,0.009875161
0.041616647,0.01030792
0.042016807,0.009032027
0.042416967,0.008218738
0.042817127,0.00248095
0.043217287,0.003935916
0.043617447,0.005756488
0.044017607,0.002891325
0.044417767,0.001316977
0.044817927,-0.002682313
0.045218087,-0.003689597
0.045618247,-0.004107434
0.046018407,-0.00452527
0.046418567,-0.009427385
0.046818727,-0.014911487
0.047218888,-0.008584251
0.047619048,-0.006696527
0.048019208,-0.007032288
0.048419368,-0.010956965
0.048819528,-0.018149719
0.049219688,-0.010904735
0.049619848,-0.008330565
0.050020008,-0.008763324
0.050420168,-0.009934758
0.050820328,-0.015657624
0.051220488,-0.010098908
0.051620648,-0.00578624
0.052020808,-0.005487786
0.052420968,-0.005868315
0.052821128,-0.005241561
0.053221289,-0.004644652
0.053621449,0.000861834
0.054021609,-0.000130527
0.054421769,0.00072753
0.054821929,0.003436004
0.055222089,0.004570132
0.055622249,0.008845493
0.056022409,0.010576529
0.056422569,0.012650788
0.056822729,0.010688449
0.057222889,0.010113924
0.057623049,0.013128315
0.058023209,0.01485189
0.058423369,0.014023678
0.058823529,0.015911403
0.059223689,0.012412024
0.05962385,0.01545626
0.06002401,0.014650433
0.06042417,0.011188361
0.06082433,0.01145697
0.06122449,0.010874983
0.06162465,0.008867877
0.06202481,0.011300281
0.06242497,0.008494808
0.06282513,0.004301522
0.06322529,0.001981039
0.06362545,0.003316623
0.06402561,0.006122095
0.06442577,0.002040729
0.06482593,-0.003711981
0.06522609,-0.007554583
0.065626251,-0.004838647
0.066026411,-0.003771672
0.066426571,-0.005905622
0.066826731,-0.009024472
0.067226891,-0.014299656
0.067627051,-0.010203367
0.068027211,-0.006405533
0.068427371,-0.00988999
0.068827531,-0.009196083
0.069227691,-0.017306585
0.069627851,-0.011815022
0.070028011,-0.007614274
0.070428171,-0.007763502
0.070828331,-0.009330388
0.071228491,-0.013374446
0.071628651,-0.009748224
0.072028812,-0.004182047
0.072428972,-0.006420456
0.072829132,-0.001704875
0.073229292,-0.003659752
0.073629452,-0.00463719
0.074029612,0.002137727
0.074429772,0.004003068
0.074829932,0.006823463
0.075230092,0.006681697
0.075630252,0.007614368
0.076030412,0.011195822
0.076430572,0.013844606
0.076830732,0.012322488
0.077230892,0.012807476
0.077631052,0.010024388
0.078031212,0.012098647
0.078431373,0.016754537
0.078831533,0.011412201
0.079231693,0.015001117
0.079631853,0.01468774
0.080032013,0.012367256
0.080432173,0.014493744
0.080832333,0.011889729
0.081232493,0.010725756
0.081632653,0.008718649
0.082032813,0.008427656
0.082432973,0.010539222
0.082833133,0.002488411
0.083233293,0.004786511
0.083633453,0.003637461
0.084033613,0.003256932
0.084433774,0.003540463
0.084833934,-0.001854102
0.085234094,-0.002585316
0.085634254,-0.009472154
0.086034414,-0.007688888
0.086434574,-0.006032465
0.086834734,-0.006092156
0.087234894,-0.008591713
0.087635054,-0.015732237
0.088035214,-0.010016833
0.088435374,-0.00977807
0.088835534,-0.008173876
0.089235694,-0.011121115
0.089635854,-0.018515326
0.090036014,-0.011919481
0.090436174,-0.006875599
0.090836335,-0.008517099
0.091236495,-0.008405179
0.091636655,-0.012755153
0.092036815,-0.010113831
0.092436975,-0.003473218
0.092837135,-0.000787127
0.093237295,-0.00277185
0.093637455,-0.00480134
0.094037615,-0.004211893
0.094437775,0.002219802
0.094837935,0.007345759
0.095238095,0.006614545
0.095638255,0.009136486
0.096038415,0.009061872
0.096438575,0.012218029
0.096838735,0.013874451
0.097238896,0.00997962
0.097639056,0.013001472
0.098039216,0.011001826
0.098439376,0.015202574
0.098839536,0.016582926
0.099239696,0.012904474
0.099639856,0.014292288
0.100040016,0.011315204
0.100440176,0.011583813
0.100840336,0.013799838
0.101240496,0.010971981
0.101640656,0.009390172
0.102040816,0.008673881
